word,H
werwa,H
życie,H
pobudzony,H
ożywiony,H
zelektryzowany,H
rozentuzjazmowana,H
uskrzydlona,H
pasja,H
komfort,H
zaspokojona,H
usatysfakcjonowana,H
rozluźniona,H
zrelaksowana,H
bezpieczna,H
beztroska,H
wypoczęta,H
odświeżona,H
energiczna,H
pobudzona,H
zrelaksowana,H
silna,H
pogodna,
swobodna,H
błogość,H
zainteresowana,H
zaciekawiona,H
podniecona,H
podekscytowana,H
zafascynowana,H
zaintrygowana,H
zainspirowana,H
zachęcona,H
zadowolona,H
szczęśliwa,H
pełna nadziei,H
zachwycona,H
wdzięczna,H
radosna,H
spełniona,H
optymizm,H
dumna,H
spokojna,H
usatysfakcjonowana,H
wyciszona,H
zrelaksowana,H
kochająca,H
kontakcie,H
kontakt,H
otwarta,H
czuła,H
przyjazna,H
wesoła,H
śmiała,H
żywa,H
zainspirowana,H
chętna,H
zabawa,H
rozbawiona,H
rozradowana,H
wdzięczna,H
doceniająca,H
szczęśliwa,H
zbudowana,H
zainspirowana,H
wzruszona,H
zachwycona,H
roztkliwiona,H
pokrzepiona,H
rozpromieniona,H
poruszona,H
apatyczna,S
markotna,S
odrętwiała,
oklapnięta,S
osowiała,S
otępiała,S
przybita,S
przygaszona,S
dyskomfort,F
zaniepokojona,F
zirytowana,F
zawstydzona,F
zakłopotana,F
skonsternowana,F
speszona,F
spięta,F
spłoszona,F
strapiona,F
zmieszana,F
zakłopotana,F
zażenowana,F
zmęczona,S
wyczerpana,S
śpiąca,S
otępiała,S
słaba,S
przytłoczona,S
niezainteresowana,D
znudzona,D
pusta,D
niezadowolona,S
nieszczęśliwa,S
rozczarowana,
ociężała,S
osamotniona,S
zasmucona,S
zatroskana,S
przygnębiona,
załamana,S
zmartwiona,S
zafrasowana,S
nerwowa,A
zmartwiona,A
zmieszana,A
napięta,A
podenerwowana,A
podminowana,A
wściekła,A
zła,A
zirytowana,A
sfrustrowana,A
podrażniona,A
rozdygotana,A
rozeźlona,A
rozgniewana,A
rozsierdzona,A
zagniewana,A
wzburzona,A
rozgoryczona,D
rozczarowana,D
zgorzkniała,D
zaskoczona,D
zawiedzona,D
przestraszona,F
pełna obaw,F
wątpiąca,F
zszokowana,F
zmartwiona,F
przerażona,F
spanikowana,F
zaniepokojona,F
zatrwożona,F
roztrzęsiona,F
